Ano de eleição,Cargo,Coligação,Cor/raça,Detalhe da situação de candidatura,Estado civil,Faixa etária,Federação,Gênero,Grau de instrução,Município,Nacionalidade,Nome social,Ocupação,Reeleição,Região,Sigla partido,Situação de candidatura,Situação de totalização,Tipo eleição,Turno,UF,Quantidade de candidatos,Quantidade de candidatos eleitos,Quantidade de candidatos para o 2º turno,Quantidade de candidatos não eleitos,Quantidade de candidatos suplentes,Quantidade de candidatos não informados,Data de carga
1996,PREFEITO,A FORCA DA RENOVACAO,#NE,#NE,#NE,40 a 44 anos,,#NE,#NE,MARCOS PARENTE,#NE,N,#NE,#NE,NORDESTE,PMDB,#NE,NAO ELEITO,Eleição Ordinária,1,PI,1.0,0.0,0.0,1.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,A FORCA DA UNIAO E DO TRABALHO,#NE,#NE,#NE,35 a 39 anos,,#NE,#NE,MONSENHOR GIL,#NE,N,#NE,#NE,NORDESTE,PFL,#NE,ELEITO,Eleição Ordinária,1,PI,1.0,1.0,0.0,0.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,A FORCA QUE VEM DO POVO,#NE,#NE,#NE,75 a 79 anos,,#NE,#NE,TERESINA,#NE,N,#NE,#NE,NORDESTE,PMDB,#NE,2.O TURNO,Eleição Ordinária,1,PI,1.0,0.0,1.0,0.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,A FORCA QUE VEM DO POVO,#NE,#NE,#NE,75 a 79 anos,,#NE,#NE,TERESINA,#NE,N,#NE,#NE,NORDESTE,PMDB,#NE,NAO ELEITO,Eleição Ordinária,2,PI,1.0,0.0,0.0,1.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,A HORA DO POVO,#NE,#NE,#NE,25 a 29 anos,,#NE,#NE,BARRA DOS COQUEIROS,#NE,N,#NE,#NE,NORDESTE,PT DO B,#NE,#NULO#,Eleição Ordinária,1,SE,1.0,0.0,0.0,0.0,0.0,1.0,2021-06-21 15:28:17
1996,PREFEITO,A HORA E A VEZ,#NE,#NE,#NE,30 a 34 anos,,#NE,#NE,FLORESTA DO PIAUI,#NE,N,#NE,#NE,NORDESTE,PTB,#NE,ELEITO,Eleição Ordinária,1,PI,1.0,1.0,0.0,0.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,A LUTA PELA IGUALDADE,#NE,#NE,#NE,50 a 54 anos,,#NE,#NE,SALVADOR,#NE,N,#NE,#NE,NORDESTE,PSDB,#NE,NAO ELEITO,Eleição Ordinária,1,BA,1.0,0.0,0.0,1.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,A VERDADEIRA MUDANCA,#NE,#NE,#NE,35 a 39 anos,,#NE,#NE,MATIAS OLIMPIO,#NE,N,#NE,#NE,NORDESTE,PPS,#NE,NAO ELEITO,Eleição Ordinária,1,PI,1.0,0.0,0.0,1.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,A VEZ DO POVO,#NE,#NE,#NE,35 a 39 anos,,#NE,#NE,CAPITAO DE CAMPOS,#NE,N,#NE,#NE,NORDESTE,PMDB,#NE,NAO ELEITO,Eleição Ordinária,1,PI,1.0,0.0,0.0,1.0,0.0,0.0,2021-06-21 15:28:17
1996,PREFEITO,A VEZ DO POVO,#NE,#NE,#NE,35 a 39 anos,,#NE,#NE,SANTO INACIO DO PIAUI,#NE,N,#NE,#NE,NORDESTE,PSDB,#NE,ELEITO,Eleição Ordinária,1,PI,1.0,1.0,0.0,0.0,0.0,0.0,2021-06-21 15:28:17
